Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
Technology,Jacksonville,United States,Anthony Johnson,Logitech,1/5/2021,US-2021-134474,32216,Logitech MX Performance Wireless Mouse,South,Corporate,1/7/2021,Second Class,Florida,Accessories,0.2,40.6878,6,191.472
Technology,Jacksonville,United States,Anthony Johnson,Logitech,1/5/2021,US-2021-134474,32216,"Logitech B530 USB Headset - headset - Full size, Binaural",South,Corporate,1/7/2021,Second Class,Florida,Phones,0.2,5.1786,2,59.184
Furniture,Amarillo,United States,Neoma Murray,Executive Impressions,1/7/2021,US-2021-158806,79109,"Executive Impressions 13"" Clairmont Wall Clock",Central,Consumer,1/11/2021,Standard Class,Texas,Furnishings,0.6,-10.9611,3,23.076
Office Supplies,Oakland,United States,Dianna Wilson,Panasonic,1/7/2021,US-2021-101938,94601,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,West,Home Office,1/12/2021,Standard Class,California,Art,0,10.0282,1,34.58
Office Supplies,Amarillo,United States,Neoma Murray,Xerox,1/7/2021,US-2021-158806,79109,Xerox 212,Central,Consumer,1/11/2021,Standard Class,Texas,Paper,0.2,9.072,5,25.92
Furniture,Franklin,United States,Jack O'Briant,Atlantic,1/8/2021,US-2021-100461,53132,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Corporate,1/12/2021,Standard Class,Wisconsin,Bookcases,0,407.1288,6,1565.88
Office Supplies,Raleigh,United States,Vivek Sundaresam,Newell,1/8/2021,US-2021-137295,27604,Newell 319,South,Consumer,1/13/2021,Standard Class,North Carolina,Art,0.2,5.952000000,3,47.616
Office Supplies,Franklin,United States,Jack O'Briant,Other,1/8/2021,US-2021-100461,53132,Plastic Binding Combs,Central,Corporate,1/12/2021,Standard Class,Wisconsin,Binders,0,49.8435,7,106.05
Office Supplies,Raleigh,United States,Vivek Sundaresam,XtraLife,1/8/2021,US-2021-137295,27604,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",South,Consumer,1/13/2021,Standard Class,North Carolina,Binders,0.7,-24.6624,7,30.828
Technology,Raleigh,United States,Vivek Sundaresam,Avaya,1/8/2021,US-2021-137295,27604,Avaya 5410 Digital phone,South,Consumer,1/13/2021,Standard Class,North Carolina,Phones,0.2,10.8784,2,108.784
Furniture,Toledo,United States,Maureen Fritzler,DAX,1/9/2021,US-2021-126543,43615,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,Corporate,1/13/2021,Second Class,Ohio,Furnishings,0.2,3.792,2,15.168
Technology,Fresno,United States,Laura Armstrong,Logitech,1/9/2021,US-2021-108882,93727,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,West,Corporate,1/15/2021,Standard Class,California,Accessories,0,118.983,5,349.95
Technology,Fresno,United States,Laura Armstrong,Other,1/9/2021,US-2021-108882,93727,netTALK DUO VoIP Telephone Service,West,Corporate,1/15/2021,Standard Class,California,Phones,0.2,141.723,9,377.928
Furniture,Longview,United States,Joy Bell-,DAX,1/10/2021,US-2021-163937,98632,"DAX Value U-Channel Document Frames, Easel Back",West,Consumer,1/13/2021,Second Class,Washington,Furnishings,0,7.7035,5,24.85
Furniture,Seattle,United States,Ken Black,Other,1/10/2021,US-2021-116547,98115,24-Hour Round Wall Clock,West,Corporate,1/17/2021,Standard Class,Washington,Furnishings,0,34.3656,4,79.92
Technology,Seattle,United States,Ken Black,Logitech,1/10/2021,US-2021-116547,98115,Logitech Media Keyboard K200,West,Corporate,1/17/2021,Standard Class,Washington,Accessories,0,13.2962,2,69.98
Furniture,Columbus,United States,Mark Packer,Ultra,1/11/2021,US-2021-141887,43229,Ultra Door Push Plate,East,Home Office,1/15/2021,Standard Class,Ohio,Furnishings,0.2,8.9362,14,54.992
Office Supplies,Springfield,United States,Deanra Eno,Xerox,1/11/2021,US-2021-126529,45503,Xerox 2,East,Home Office,1/13/2021,Second Class,Ohio,Paper,0.2,5.4432,3,15.552
Office Supplies,Springfield,United States,Deanra Eno,Xerox,1/11/2021,US-2021-126529,45503,Xerox 1935,East,Home Office,1/13/2021,Second Class,Ohio,Paper,0.2,20.5764,3,63.312
Technology,Springfield,United States,Deanra Eno,Other,1/11/2021,US-2021-126529,45503,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,East,Home Office,1/13/2021,Second Class,Ohio,Phones,0.4,-9.8724,2,15.588
Furniture,Concord,United States,Anna Gayman,Electrix,1/14/2021,US-2021-133368,28027,Electrix Fluorescent Magnifier Lamps & Weighted Base,South,Consumer,1/20/2021,Standard Class,North Carolina,Furnishings,0.2,31.5776,8,315.776
Office Supplies,Concord,United States,Anna Gayman,Xerox,1/14/2021,US-2021-133368,28027,Xerox 1882,South,Consumer,1/20/2021,Standard Class,North Carolina,Paper,0.2,32.4684,2,89.568
Furniture,Fairfield,United States,Roy Collins,Bevis,1/15/2021,US-2021-140746,06824,"Bevis Round Bullnose 29"" High Table Top",East,Consumer,1/15/2021,Same Day,Connecticut,Tables,0.3,-15.5826,1,181.797
Office Supplies,Westfield,United States,Dean percer,Other,1/15/2021,US-2021-152072,07090,American Pencil,East,Home Office,1/19/2021,Standard Class,New Jersey,Art,0,1.3514,2,4.66
Office Supplies,New York City,United States,William Brown,Other,1/15/2021,US-2021-137848,10011,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",East,Consumer,1/21/2021,Standard Class,New York,Binders,0.2,17.3376,3,49.536
Office Supplies,New York City,United States,William Brown,Other,1/15/2021,US-2021-137848,10011,"#10 Gummed Flap White Envelopes, 100/Box",East,Consumer,1/21/2021,Standard Class,New York,Envelopes,0,7.5992,4,16.52
Office Supplies,Westfield,United States,Dean percer,Other,1/15/2021,US-2021-152072,07090,Quality Park Security Envelopes,East,Home Office,1/19/2021,Standard Class,New Jersey,Envelopes,0,24.5998,2,52.34
Office Supplies,New York City,United States,Bill Eplett,Xerox,1/15/2021,US-2021-166912,10009,Xerox 1893,East,Home Office,1/17/2021,First Class,New York,Paper,0,40.1702,2,81.98
Office Supplies,New York City,United States,William Brown,Xerox,1/15/2021,US-2021-137848,10011,Xerox 1959,East,Consumer,1/21/2021,Standard Class,New York,Paper,0,28.8576,9,60.12
Technology,Westfield,United States,Dean percer,Logitech,1/15/2021,US-2021-152072,07090,Logitech Gaming G510s - Keyboard,East,Home Office,1/19/2021,Standard Class,New Jersey,Accessories,0,91.7892,3,254.97
Office Supplies,Los Angeles,United States,Eric Hoffmann,Wilson Jones,1/16/2021,US-2021-121755,90049,Wilson Jones Active Use Binders,West,Consumer,1/20/2021,Second Class,California,Binders,0.2,4.2224,2,11.648
Technology,Los Angeles,United States,Eric Hoffmann,Other,1/16/2021,US-2021-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,Consumer,1/20/2021,Second Class,California,Accessories,0,11.7741,3,90.57
Furniture,Concord,United States,Chuck Clark,Tenex,1/17/2021,US-2021-116736,03301,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",East,Home Office,1/21/2021,Standard Class,New Hampshire,Furnishings,0,64.518,3,322.59
Technology,Columbus,United States,Dionis Lloyd,First Data,1/17/2021,US-2021-106558,31907,First Data FD10 PIN Pad,South,Corporate,1/21/2021,Standard Class,Georgia,Accessories,0,31.6,4,316
Technology,Concord,United States,Chuck Clark,Logitech,1/17/2021,US-2021-116736,03301,Logitech G19 Programmable Gaming Keyboard,East,Home Office,1/21/2021,Standard Class,New Hampshire,Accessories,0,66.9546,3,371.97
Technology,Concord,United States,Chuck Clark,Logitech,1/17/2021,US-2021-116736,03301,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,East,Home Office,1/21/2021,Standard Class,New Hampshire,Accessories,0,13.1956,1,29.99
Office Supplies,Montreal,Canada,Scott Cohen,Avery,1/17/2021,CA-2021-155412,H1A,Avery Fluorescent Highlighter Four-Color Set,East,Corporate,1/22/2021,Standard Class,Quebec,Art,0,2,2,6.68
Furniture,San Diego,United States,Tamara Dahlen,Global,1/21/2021,US-2021-167339,92037,Global Ergonomic Managers Chair,West,Consumer,1/23/2021,Second Class,California,Chairs,0.2,76.0116,7,1013.488
Furniture,San Diego,United States,Tamara Dahlen,Global,1/21/2021,US-2021-167339,92037,Global Super Steno Chair,West,Consumer,1/23/2021,Second Class,California,Chairs,0.2,-5.758800000,2,153.568
Furniture,Toronto,Canada,Jane Waco,Eldon,1/21/2021,CA-2021-115238,M7A,"Eldon Imàge Series Desk Accessories, Clear",East,Corporate,1/24/2021,Standard Class,Ontario,Furnishings,0,10.45,5,24.3
Furniture,Toronto,Canada,Jane Waco,DAX,1/21/2021,CA-2021-115238,M7A,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,Corporate,1/24/2021,Standard Class,Ontario,Furnishings,0,3.79,1,9.48
Furniture,Toronto,Canada,Jane Waco,Eldon,1/21/2021,CA-2021-115238,M7A,"Eldon 200 Class Desk Accessories, Burgundy",East,Corporate,1/24/2021,Standard Class,Ontario,Furnishings,0,13.19,5,31.4
Office Supplies,Toronto,Canada,Jane Waco,Other,1/21/2021,CA-2021-115238,M7A,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),East,Corporate,1/24/2021,Standard Class,Ontario,Paper,0,3.11,1,6.48
Technology,Toronto,Canada,Jane Waco,Other,1/21/2021,CA-2021-115238,M7A,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",East,Corporate,1/24/2021,Standard Class,Ontario,Phones,0,58.66,10,209.5
Furniture,Fayetteville,United States,Carlos Meador,Sauder,1/22/2021,US-2021-135923,28314,"Sauder Forest Hills Library, Woodland Oak Finish",South,Consumer,1/28/2021,Standard Class,North Carolina,Bookcases,0.2,-67.6704,4,451.136
Furniture,Seattle,United States,Anthony Johnson,Other,1/22/2021,US-2021-138079,98115,"Contract Clock, 14"", Brown",West,Corporate,1/28/2021,Standard Class,Washington,Furnishings,0,37.366,5,109.9
Furniture,Fayetteville,United States,Carlos Meador,Eldon,1/22/2021,US-2021-135923,28314,Eldon Pizzaz Desk Accessories,South,Consumer,1/28/2021,Standard Class,North Carolina,Furnishings,0.2,4.2816,8,14.272
Office Supplies,Fayetteville,United States,Carlos Meador,Fellowes,1/22/2021,US-2021-135923,28314,Fellowes Mighty 8 Compact Surge Protector,South,Consumer,1/28/2021,Standard Class,North Carolina,Appliances,0.2,6.4864,4,64.864
Office Supplies,New York City,United States,Toby Braunhardt,Wilson Jones,1/22/2021,US-2021-155180,10009,Wilson Jones data.warehouse D-Ring Binders with DublLock,East,Consumer,1/29/2021,Standard Class,New York,Binders,0.2,9.2176,4,26.336
Office Supplies,Morristown,United States,Paul Gonzalez,Other,1/22/2021,US-2021-111010,07960,Bagged Rubber Bands,East,Consumer,1/28/2021,Standard Class,New Jersey,Fasteners,0,0.3024,6,7.56
Office Supplies,San Diego,United States,Frank Preis,Avery,1/22/2021,US-2021-125850,92037,Avery 475,West,Consumer,1/28/2021,Standard Class,California,Labels,0,22.2,3,44.4
Office Supplies,San Diego,United States,Frank Preis,Avery,1/22/2021,US-2021-125850,92037,Avery 476,West,Consumer,1/28/2021,Standard Class,California,Labels,0,9.499,5,20.65
Office Supplies,Seattle,United States,Marc Crier,Xerox,1/22/2021,US-2021-146318,98105,Xerox 218,West,Consumer,1/27/2021,Standard Class,Washington,Paper,0,6.2208,2,12.96
Technology,Cleveland,United States,Bradley Talbott,Verbatim,1/22/2021,US-2021-148208,44105,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",East,Home Office,1/27/2021,Standard Class,Ohio,Accessories,0.2,15.8631,3,55.176
Technology,Cleveland,United States,Bradley Talbott,Panasonic,1/22/2021,US-2021-148208,44105,Panasonic Kx-TS550,East,Home Office,1/27/2021,Standard Class,Ohio,Phones,0.4,-20.2356,4,110.376
Furniture,Los Angeles,United States,Christy Brittain,DAX,1/23/2021,US-2021-113656,90036,"DAX Cubicle Frames, 8-1/2 x 11",West,Consumer,1/29/2021,Standard Class,California,Furnishings,0,21.5964,7,59.99
Office Supplies,Burlington,United States,Claudia Bergmann,Other,1/23/2021,US-2021-165505,05401,4009 Highlighters,East,Corporate,1/27/2021,Standard Class,Vermont,Art,0,2.7336,6,8.04
Office Supplies,Burlington,United States,Claudia Bergmann,Iceberg,1/23/2021,US-2021-165505,05401,Iceberg Mobile Mega Data/Printer Cart,East,Corporate,1/27/2021,Standard Class,Vermont,Storage,0,406.7154,13,1564.29
Technology,Burlington,United States,Claudia Bergmann,Logitech,1/23/2021,US-2021-165505,05401,Logitech Wireless Marathon Mouse M705,East,Corporate,1/27/2021,Standard Class,Vermont,Accessories,0,42.9914,2,99.98
Office Supplies,Gulfport,United States,Henry Goldwyn,XtraLife,1/24/2021,US-2021-109407,39503,XtraLife ClearVue Slant-D Ring Binders by Cardinal,South,Corporate,1/26/2021,Second Class,Mississippi,Binders,0,15.68,4,31.36
Furniture,New York City,United States,Jonathan Doherty,Tenex,1/25/2021,US-2021-168046,10024,Tenex B1-RE Series Chair Mats for Low Pile Carpets,East,Corporate,1/28/2021,Second Class,New York,Furnishings,0,7.816600000,1,45.98
Furniture,New York City,United States,Jonathan Doherty,Chromcraft,1/25/2021,US-2021-168046,10024,Chromcraft Round Conference Tables,East,Corporate,1/28/2021,Second Class,New York,Tables,0.4,-99.3453,3,313.722
Office Supplies,Plainfield,United States,Todd Boyes,Dixon,1/25/2021,US-2021-153346,07060,"Dixon Ticonderoga Maple Cedar Pencil, #2",East,Corporate,1/27/2021,First Class,New Jersey,Art,0,2.3025,3,9.21
Office Supplies,New York City,United States,Jonathan Doherty,GBC,1/25/2021,US-2021-168046,10024,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",East,Corporate,1/28/2021,Second Class,New York,Binders,0.2,15.092,5,43.12
Office Supplies,Plainfield,United States,Todd Boyes,Other,1/25/2021,US-2021-153346,07060,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",East,Corporate,1/27/2021,First Class,New Jersey,Paper,0,8.28,5,18
Office Supplies,New York City,United States,Jonathan Doherty,SAFCO,1/25/2021,US-2021-168046,10024,"SAFCO Commercial Wire Shelving, 72h",East,Corporate,1/28/2021,Second Class,New York,Storage,0,0,7,428.68
Office Supplies,Los Angeles,United States,Henry Goldwyn,Newell,1/28/2021,US-2021-146437,90036,Newell 345,West,Corporate,2/1/2021,Second Class,California,Art,0,10.3168,2,39.68
Furniture,Seattle,United States,Tim Brockman,O'Sullivan,1/30/2021,US-2021-166660,98103,O'Sullivan 2-Shelf Heavy-Duty Bookcases,West,Consumer,2/1/2021,Second Class,Washington,Bookcases,0,7.7728,1,48.58
Furniture,Seattle,United States,Tim Brockman,Global,1/30/2021,US-2021-166660,98103,Global Deluxe High-Back Office Chair in Storm,West,Consumer,2/1/2021,Second Class,Washington,Chairs,0.2,-59.8356,4,435.168
Furniture,Rockford,United States,David Flashing,Bretford,1/30/2021,US-2021-168032,61107,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Central,Consumer,2/3/2021,Standard Class,Illinois,Tables,0.5,-538.446,3,626.1
Office Supplies,San Francisco,United States,Jeremy Farry,Other,1/30/2021,US-2021-164483,94122,Heavy-Duty E-Z-D Binders,West,Consumer,2/3/2021,Standard Class,California,Binders,0.2,5.8914,2,17.456
Office Supplies,Rockford,United States,David Flashing,Avery,1/30/2021,US-2021-168032,61107,Avery Durable Binders,Central,Consumer,2/3/2021,Standard Class,Illinois,Binders,0.8,-2.6784,3,1.728
Office Supplies,San Francisco,United States,Steven Cartwright,GBC,1/30/2021,US-2021-153661,94122,GBC Wire Binding Strips,West,Consumer,1/31/2021,First Class,California,Binders,0.2,17.7744,2,50.784
Office Supplies,San Francisco,United States,Steven Cartwright,Avery,1/30/2021,US-2021-153661,94122,Avery 512,West,Consumer,1/31/2021,First Class,California,Labels,0,12.2247,9,26.01
Office Supplies,Chicago,United States,Harold Engle,Xerox,1/30/2021,US-2021-114944,60623,Xerox 1943,Central,Corporate,2/4/2021,Standard Class,Illinois,Paper,0.2,52.8228,4,156.512
Office Supplies,San Francisco,United States,Steven Cartwright,Other,1/30/2021,US-2021-153661,94122,"File Shuttle II and Handi-File, Black",West,Consumer,1/31/2021,First Class,California,Storage,0,76.2525,9,305.01
Technology,Rockford,United States,David Flashing,Nokia,1/30/2021,US-2021-168032,61107,Nokia Lumia 1020,Central,Consumer,2/3/2021,Standard Class,Illinois,Phones,0.2,143.9968,4,1439.968
Office Supplies,Atlanta,United States,Ben Ferrer,Fellowes,1/31/2021,US-2021-159891,30318,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,South,Home Office,2/6/2021,Standard Class,Georgia,Binders,0,635.495,1,1270.99
Office Supplies,Atlantic City,United States,Jason Klamczynski,Staple envelope,1/31/2021,US-2021-158043,08401,Staple envelope,East,Corporate,2/4/2021,Second Class,New Jersey,Envelopes,0,11.68,2,23.36
Office Supplies,Atlanta,United States,Ben Ferrer,Other,1/31/2021,US-2021-159891,30318,"#10 White Business Envelopes,4 1/8 x 9 1/2",South,Home Office,2/6/2021,Standard Class,Georgia,Envelopes,0,58.9192,8,125.36
Office Supplies,Los Angeles,United States,Sample Company A,Easy-staple paper,1/31/2021,US-2021-129238,90045,Easy-staple paper,West,Home Office,2/4/2021,Standard Class,California,Paper,0,27.783,5,56.7
Office Supplies,Dallas,United States,Aimee Bixby,Xerox,1/31/2021,US-2021-147970,75220,Xerox 1994,Central,Consumer,2/2/2021,Second Class,Texas,Paper,0.2,5.4432,3,15.552
Technology,Los Angeles,United States,Sample Company A,AT&T,1/31/2021,US-2021-129238,90045,AT&T 1080 Phone,West,Home Office,2/4/2021,Standard Class,California,Phones,0.2,8.2194,1,109.592
Office Supplies,Los Angeles,United States,Suzanne McNair,Xerox,2/1/2021,US-2021-154067,90036,Xerox 1883,West,Corporate,2/7/2021,Standard Class,California,Paper,0,48.5392,4,105.52
Office Supplies,Arlington,United States,Cyma Kinney,Other,2/1/2021,US-2021-140809,22204,X-Rack File for Hanging Folders,South,Corporate,2/3/2021,First Class,Virginia,Storage,0,14.677,5,56.45
Furniture,Arlington,United States,Sanjit Engle,Other,2/2/2021,US-2021-158841,22204,Acrylic Self-Standing Desk Frames,South,Consumer,2/4/2021,Second Class,Virginia,Furnishings,0,7.1022,7,18.69
Furniture,Houston,United States,Noel Staavos,Deflect-o,2/2/2021,US-2021-144645,77041,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Central,Corporate,2/8/2021,Standard Class,Texas,Furnishings,0.6,-77.4732,2,73.784
Office Supplies,Arlington,United States,Sanjit Engle,Other,2/2/2021,US-2021-158841,22204,Presstex Flexible Ring Binders,South,Consumer,2/4/2021,Second Class,Virginia,Binders,0,18.2,8,36.4
Office Supplies,New York City,United States,Adrian Barton,Belkin,2/2/2021,US-2021-147431,10011,"Belkin 19"" Center-Weighted Shelf, Gray",East,Consumer,2/7/2021,Standard Class,New York,Storage,0,5.898,2,117.96
Technology,Arlington,United States,Sanjit Engle,Hewlett-Packard,2/2/2021,US-2021-158841,22204,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",South,Consumer,2/4/2021,Second Class,Virginia,Machines,0,2799.984,5,8749.95
Furniture,Richmond,United States,Liz Carlisle,Hon,2/3/2021,US-2021-118514,40475,Hon Multipurpose Stacking Arm Chairs,South,Consumer,2/10/2021,Standard Class,Kentucky,Chairs,0,225.264,4,866.4
Furniture,Sierra Vista,United States,Tracy Blumstein,Nu-Dell,2/4/2021,US-2021-117912,85635,Nu-Dell Float Frame 11 x 14 1/2,West,Consumer,2/8/2021,Standard Class,Arizona,Furnishings,0.2,3.9512,2,14.368
Office Supplies,Los Angeles,United States,Jennifer Braxton,SAFCO,2/4/2021,US-2021-101189,90049,Safco Commercial Shelving,West,Corporate,2/9/2021,Standard Class,California,Storage,0,3.7208,2,93.02
Technology,Rockville,United States,Maribeth Schnelling,AT&T,2/4/2021,US-2021-150077,20852,AT&T 17929 Lendline Telephone,East,Consumer,2/10/2021,Standard Class,Maryland,Phones,0,23.5248,2,90.48
Furniture,Smyrna,United States,Paul Prost,Bush,2/5/2021,US-2021-108504,30080,"Bush Andora Bookcase, Maple/Graphite Gray Finish",South,Home Office,2/5/2021,Same Day,Georgia,Bookcases,0,52.7956,2,239.98
Furniture,Smyrna,United States,Paul Prost,Eldon,2/5/2021,US-2021-108504,30080,"Eldon 200 Class Desk Accessories, Black",South,Home Office,2/5/2021,Same Day,Georgia,Furnishings,0,7.1592,3,18.84
Furniture,San Diego,United States,Annie Zypern,Chromcraft,2/5/2021,US-2021-100993,92037,Chromcraft Round Conference Tables,West,Consumer,2/10/2021,Standard Class,California,Tables,0.2,6.9716,4,557.728
Office Supplies,Smyrna,United States,Paul Prost,Other,2/5/2021,US-2021-108504,30080,Ames Color-File Green Diamond Border X-ray Mailers,South,Home Office,2/5/2021,Same Day,Georgia,Envelopes,0,78.9412,2,167.96
Office Supplies,Smyrna,United States,Paul Prost,Other,2/5/2021,US-2021-108504,30080,Revere Boxed Rubber Bands by Revere,South,Home Office,2/5/2021,Same Day,Georgia,Fasteners,0,0.189,5,9.45
Office Supplies,San Diego,United States,Annie Zypern,Avery,2/5/2021,US-2021-100993,92037,Avery 508,West,Consumer,2/10/2021,Standard Class,California,Labels,0,7.2177,3,14.73
Office Supplies,Smyrna,United States,Paul Prost,Other,2/5/2021,US-2021-108504,30080,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",South,Home Office,2/5/2021,Same Day,Georgia,Paper,0,60.2553,3,122.97
Office Supplies,Smyrna,United States,Paul Prost,Other,2/5/2021,US-2021-108504,30080,White Computer Printout Paper by Universal,South,Home Office,2/5/2021,Same Day,Georgia,Paper,0,170.9316,9,348.84
Office Supplies,Smyrna,United States,Paul Prost,Xerox,2/5/2021,US-2021-108504,30080,Xerox 1943,South,Home Office,2/5/2021,Same Day,Georgia,Paper,0,160.9139,7,342.37
Office Supplies,Smyrna,United States,Paul Prost,Carina,2/5/2021,US-2021-108504,30080,"Carina 42""Hx23 3/4""W Media Storage Unit",South,Home Office,2/5/2021,Same Day,Georgia,Storage,0,1.619600000,1,80.98
Office Supplies,San Diego,United States,Annie Zypern,Fellowes,2/5/2021,US-2021-100993,92037,"Fellowes Mobile File Cart, Black",West,Consumer,2/10/2021,Standard Class,California,Storage,0,50.3658,3,186.54
Office Supplies,Smyrna,United States,Paul Prost,Belkin,2/5/2021,US-2021-108504,30080,"Belkin 19"" Vented Equipment Shelf, Black",South,Home Office,2/5/2021,Same Day,Georgia,Storage,0,1.5444,3,154.44
Technology,Smyrna,United States,Paul Prost,Plantronics,2/5/2021,US-2021-108504,30080,Plantronics Cordless Phone Headset with In-line Volume - M214C,South,Home Office,2/5/2021,Same Day,Georgia,Phones,0,28.3095,3,104.85
Technology,San Diego,United States,Annie Zypern,Anker,2/5/2021,US-2021-100993,92037,Anker Astro 15000mAh USB Portable Charger,West,Consumer,2/10/2021,Standard Class,California,Phones,0.2,-31.9936,4,159.968
Technology,Smyrna,United States,Paul Prost,Other,2/5/2021,US-2021-108504,30080,Aastra 57i VoIP phone,South,Home Office,2/5/2021,Same Day,Georgia,Phones,0,126.0558,3,484.83
Furniture,Chattanooga,United States,Karen Bern,Deflect-o,2/6/2021,US-2021-125017,37421,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",South,Corporate,2/11/2021,Standard Class,Tennessee,Furnishings,0.2,-18.1808,4,132.224
Office Supplies,Springfield,United States,Christina Anderson,Universal,2/7/2021,US-2021-106894,22153,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,South,Consumer,2/7/2021,Same Day,Virginia,Labels,0,3.6018,3,7.83
Office Supplies,Lancaster,United States,Bobby Elias,Xerox,2/7/2021,US-2021-161662,43130,Xerox 1912,East,Consumer,2/9/2021,First Class,Ohio,Paper,0.2,10.6232,2,30.352
Technology,Springfield,United States,Christina Anderson,Micro Innovations,2/7/2021,US-2021-106894,22153,Micro Innovations USB RF Wireless Keyboard with Mouse,South,Consumer,2/7/2021,Same Day,Virginia,Accessories,0,21,4,100
Technology,Los Angeles,United States,Erica Bern,Motorola,2/7/2021,US-2021-135461,90049,Motorola L703CM,West,Corporate,2/10/2021,Second Class,California,Phones,0.2,38.9975,5,623.96
Furniture,Houston,United States,Mark Haberlin,Other,2/8/2021,US-2021-163048,77036,Harbour Creations Steel Folding Chair,Central,Corporate,2/15/2021,Standard Class,Texas,Chairs,0.3,0,4,241.5
Technology,Raleigh,United States,Cathy Hwang,Samsung,2/8/2021,US-2021-109344,27604,Samsung Galaxy S4 Mini,South,Home Office,2/11/2021,Second Class,North Carolina,Phones,0.2,126.8973,3,1127.976
