Category;City;Country/Region;Customer Name;Manufacturer;Order Date;Order ID;Postal Code;Product Name;Region;Segment;Ship Date;Ship Mode;State;Sub-Category;Discount;Profit;Quantity;Sales
Office Supplies;Fort Worth;United States;Harold Pawlan;Storex;22.11.2019;US-2019-118983;76106;Storex DuraTech Recycled Plastic Frosted Binders;Central;Home Office;26.11.2019;Standard Class;Texas;Binders;0,8;-3,816;3;2,544
Office Supplies;Madison;United States;Pete Kriz;Other;11.11.2018;CA-2018-105893;53711;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";Central;Consumer;18.11.2018;Standard Class;Wisconsin;Storage;0;13,3176;6;665,88
Office Supplies;West Jordan;United States;Alejandro Grove;Fellowes;13.05.2018;CA-2018-167164;84084;Fellowes Super Stor/Drawer;West;Consumer;15.05.2018;Second Class;Utah;Storage;0;9,990000000;2;55,5
Office Supplies;San Francisco;United States;Zuschuss Donatelli;Newell;27.08.2018;CA-2018-143336;94109;Newell 341;West;Consumer;1.09.2018;Second Class;California;Art;0;2,4824;2;8,56
Technology;San Francisco;United States;Zuschuss Donatelli;Cisco;27.08.2018;CA-2018-143336;94109;Cisco SPA 501G IP Phone;West;Consumer;1.09.2018;Second Class;California;Phones;0,2;16,011;3;213,48
Office Supplies;San Francisco;United States;Zuschuss Donatelli;Wilson Jones;27.08.2018;CA-2018-143336;94109;"Wilson Jones Hanging View Binder, White, 1""";West;Consumer;1.09.2018;Second Class;California;Binders;0,2;7,384;4;22,72
Office Supplies;Fremont;United States;Ken Black;Newell;9.12.2020;CA-2020-137330;68025;Newell 318;Central;Corporate;13.12.2020;Standard Class;Nebraska;Art;0;5,0596;7;19,46
Office Supplies;Fremont;United States;Ken Black;Acco;9.12.2020;CA-2020-137330;68025;Acco Six-Outlet Power Strip, 4' Cord Length;Central;Corporate;13.12.2020;Standard Class;Nebraska;Appliances;0;15,6884;7;60,34
Furniture;Philadelphia;United States;Sandra Flanagan;Global;16.07.2021;US-2021-156909;19140;Global Deluxe Stacking Chair, Gray;East;Consumer;18.07.2021;Second Class;Pennsylvania;Chairs;0,3;-1,0196;2;71,372
Furniture;Orem;United States;Emily Burns;Bretford;25.09.2019;CA-2019-106320;84057;Bretford CR4500 Series Slim Rectangular Table;West;Consumer;30.09.2019;Standard Class;Utah;Tables;0;240,2649;3;1044,63
Office Supplies;Los Angeles;United States;Eric Hoffmann;Wilson Jones;16.01.2020;CA-2020-121755;90049;Wilson Jones Active Use Binders;West;Consumer;20.01.2020;Second Class;California;Binders;0,2;4,2224;2;11,648
Technology;Los Angeles;United States;Eric Hoffmann;Other;16.01.2020;CA-2020-121755;90049;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;West;Consumer;20.01.2020;Second Class;California;Accessories;0;11,7741;3;90,57
Furniture;Philadelphia;United States;Tracy Blumstein;Riverside;17.09.2019;US-2019-150630;19140;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;East;Consumer;21.09.2019;Standard Class;Pennsylvania;Bookcases;0,5;-1665,0522;7;3083,43
Office Supplies;Philadelphia;United States;Tracy Blumstein;Avery;17.09.2019;US-2019-150630;19140;Avery Recycled Flexi-View Covers for Binding Systems;East;Consumer;21.09.2019;Standard Class;Pennsylvania;Binders;0,7;-7,0532;2;9,618
Furniture;Philadelphia;United States;Tracy Blumstein;Howard Miller;17.09.2019;US-2019-150630;19140;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";East;Consumer;21.09.2019;Standard Class;Pennsylvania;Furnishings;0,2;15,525;3;124,2
Office Supplies;Philadelphia;United States;Tracy Blumstein;Poly;17.09.2019;US-2019-150630;19140;Poly String Tie Envelopes;East;Consumer;21.09.2019;Standard Class;Pennsylvania;Envelopes;0,2;1,1016;2;3,264
Office Supplies;Philadelphia;United States;Tracy Blumstein;Boston;17.09.2019;US-2019-150630;19140;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;East;Consumer;21.09.2019;Standard Class;Pennsylvania;Art;0,2;9,709200000;6;86,304
Office Supplies;Philadelphia;United States;Tracy Blumstein;Acco;17.09.2019;US-2019-150630;19140;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";East;Consumer;21.09.2019;Standard Class;Pennsylvania;Binders;0,7;-5,715;6;6,858
Office Supplies;Philadelphia;United States;Tracy Blumstein;Other;17.09.2019;US-2019-150630;19140;Lumber Crayons;East;Consumer;21.09.2019;Standard Class;Pennsylvania;Art;0,2;3,546;2;15,76
Office Supplies;Houston;United States;Matt Abelman;Easy-staple paper;19.10.2021;CA-2021-107727;77095;Easy-staple paper;Central;Home Office;23.10.2021;Second Class;Texas;Paper;0,2;9,9468;3;29,472
Technology;Richardson;United States;Gene Hale;GE;8.12.2020;CA-2020-117590;75080;GE 30524EE4;Central;Corporate;10.12.2020;First Class;Texas;Phones;0,2;123,4737;7;1097,544
Furniture;Richardson;United States;Gene Hale;Electrix;8.12.2020;CA-2020-117590;75080;Electrix Architect's Clamp-On Swing Arm Lamp, Black;Central;Corporate;10.12.2020;First Class;Texas;Furnishings;0,6;-147,963;5;190,92
Office Supplies;Houston;United States;Steve Nguyen;Other;27.12.2019;CA-2019-117415;77041;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";Central;Home Office;31.12.2019;Standard Class;Texas;Envelopes;0,2;35,415;9;113,328
Furniture;Houston;United States;Steve Nguyen;Atlantic;27.12.2019;CA-2019-117415;77041;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;Central;Home Office;31.12.2019;Standard Class;Texas;Bookcases;0,32;-46,9764;3;532,3992
Furniture;Houston;United States;Steve Nguyen;Global;27.12.2019;CA-2019-117415;77041;Global Fabric Manager's Chair, Dark Gray;Central;Home Office;31.12.2019;Standard Class;Texas;Chairs;0,3;-15,147;3;212,058
Technology;Houston;United States;Steve Nguyen;Plantronics;27.12.2019;CA-2019-117415;77041;Plantronics HL10 Handset Lifter;Central;Home Office;31.12.2019;Standard Class;Texas;Phones;0,2;41,7564;4;371,168
Technology;Naperville;United States;Linda Cazamias;Panasonic;10.09.2021;CA-2021-120999;60540;Panasonic Kx-TS550;Central;Corporate;15.09.2021;Standard Class;Illinois;Phones;0,2;16,5564;4;147,168
Office Supplies;Los Angeles;United States;Ruben Ausman;Eldon;17.07.2020;CA-2020-101343;90049;Eldon Base for stackable storage shelf, platinum;West;Corporate;22.07.2020;Standard Class;California;Storage;0;3,894000000;2;77,88
Office Supplies;Melbourne;United States;Erin Smith;Advantus;19.09.2021;CA-2021-139619;32935;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;South;Corporate;23.09.2021;Standard Class;Florida;Storage;0,2;9,561600000;2;95,616
Technology;Eagan;United States;Odella Nelson;Verbatim;11.03.2020;CA-2020-118255;55122;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;Central;Corporate;13.03.2020;First Class;Minnesota;Accessories;0;19,7714;2;45,98
Office Supplies;Eagan;United States;Odella Nelson;Wilson Jones;11.03.2020;CA-2020-118255;55122;Wilson Jones Leather-Like Binders with DublLock Round Rings;Central;Corporate;13.03.2020;First Class;Minnesota;Binders;0;8,2062;2;17,46
Office Supplies;Westland;United States;Patrick O'Donnell;Gould Plastics;20.10.2018;CA-2018-146703;48185;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;Central;Consumer;25.10.2018;Second Class;Michigan;Storage;0;8,478400000;4;211,96
Technology;Dover;United States;Lena Hernandez;Imation;20.06.2020;CA-2020-169194;19901;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;East;Consumer;25.06.2020;Standard Class;Delaware;Accessories;0;4,95;3;45
Technology;Dover;United States;Lena Hernandez;Other;20.06.2020;CA-2020-169194;19901;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;East;Consumer;25.06.2020;Standard Class;Delaware;Phones;0;6,104;2;21,8
Office Supplies;New Albany;United States;Darren Powers;C-Line;18.04.2019;CA-2019-115742;47150;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;Central;Consumer;22.04.2019;Standard Class;Indiana;Binders;0;17,9634;6;38,22
Office Supplies;New Albany;United States;Darren Powers;Avery;18.04.2019;CA-2019-115742;47150;Avery 485;Central;Consumer;22.04.2019;Standard Class;Indiana;Labels;0;35,3346;6;75,18
Furniture;New Albany;United States;Darren Powers;Other;18.04.2019;CA-2019-115742;47150;Longer-Life Soft White Bulbs;Central;Consumer;22.04.2019;Standard Class;Indiana;Furnishings;0;2,9568;2;6,16
Furniture;New Albany;United States;Darren Powers;Global;18.04.2019;CA-2019-115742;47150;Global Leather Task Chair, Black;Central;Consumer;22.04.2019;Standard Class;Indiana;Chairs;0;17,0981;1;89,99
Office Supplies;New York City;United States;Janet Molinari;Advantus;11.12.2020;CA-2020-105816;10024;Advantus Push Pins;East;Corporate;17.12.2020;Standard Class;New York;Fasteners;0;6,2566;7;15,26
Technology;New York City;United States;Janet Molinari;AT&T;11.12.2020;CA-2020-105816;10024;AT&T CL83451 4-Handset Telephone;East;Corporate;17.12.2020;Standard Class;New York;Phones;0;298,6855;5;1029,95
Office Supplies;Troy;United States;Ted Butterfield;Other;17.06.2020;CA-2020-111682;12180;Home/Office Personal File Carts;East;Consumer;18.06.2020;First Class;New York;Storage;0;52,14;6;208,56
Office Supplies;Troy;United States;Ted Butterfield;Xerox;17.06.2020;CA-2020-111682;12180;Xerox 232;East;Consumer;18.06.2020;First Class;New York;Paper;0;15,552;5;32,4
Furniture;Troy;United States;Ted Butterfield;Novimex;17.06.2020;CA-2020-111682;12180;Novimex Turbo Task Chair;East;Consumer;18.06.2020;First Class;New York;Chairs;0,1;7,098000000;5;319,41
Office Supplies;Troy;United States;Ted Butterfield;Array;17.06.2020;CA-2020-111682;12180;Array Parchment Paper, Assorted Colors;East;Consumer;18.06.2020;First Class;New York;Paper;0;6,9888;2;14,56
Technology;Troy;United States;Ted Butterfield;Imation;17.06.2020;CA-2020-111682;12180;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;East;Consumer;18.06.2020;First Class;New York;Accessories;0;3,3;2;30
Office Supplies;Troy;United States;Ted Butterfield;Other;17.06.2020;CA-2020-111682;12180;Plastic Binding Combs;East;Consumer;18.06.2020;First Class;New York;Binders;0,2;16,362;4;48,48
Office Supplies;Troy;United States;Ted Butterfield;Prang;17.06.2020;CA-2020-111682;12180;Prang Dustless Chalk Sticks;East;Consumer;18.06.2020;First Class;New York;Art;0;0,84;1;1,68
Technology;Los Angeles;United States;Kunst Miller;Verbatim;24.11.2019;CA-2019-135545;90004;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;West;Consumer;30.11.2019;Standard Class;California;Accessories;0;6,1512;2;13,98
Office Supplies;Los Angeles;United States;Kunst Miller;Acco;24.11.2019;CA-2019-135545;90004;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";West;Consumer;30.11.2019;Standard Class;California;Binders;0,2;9,3612;6;25,824
Office Supplies;Los Angeles;United States;Kunst Miller;Xerox;24.11.2019;CA-2019-135545;90004;Xerox 1943;West;Consumer;30.11.2019;Standard Class;California;Paper;0;68,9631;3;146,73
Furniture;Los Angeles;United States;Kunst Miller;Luxo;24.11.2019;CA-2019-135545;90004;Luxo Economy Swing Arm Lamp;West;Consumer;30.11.2019;Standard Class;California;Furnishings;0;22,3328;4;79,76
Furniture;Chicago;United States;Paul Stevenson;Global;30.04.2019;US-2019-164175;60610;Global Value Mid-Back Manager's Chair, Gray;Central;Home Office;5.05.2019;Standard Class;Illinois;Chairs;0,3;-15,2225;5;213,115
Office Supplies;Gilbert;United States;Brendan Sweed;Hunt;5.12.2018;CA-2018-106376;85234;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;West;Corporate;10.12.2018;Standard Class;Arizona;Art;0,2;111,3024;8;1113,024
Technology;Gilbert;United States;Brendan Sweed;Other;5.12.2018;CA-2018-106376;85234;netTALK DUO VoIP Telephone Service;West;Corporate;10.12.2018;Standard Class;Arizona;Phones;0,2;62,988;4;167,968
Office Supplies;Springfield;United States;Karen Daniels;Other;4.06.2020;CA-2020-119823;22153;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;South;Consumer;6.06.2020;First Class;Virginia;Paper;0;35,6636;2;75,88
Office Supplies;New York City;United States;Henry MacAllister;Avery;18.09.2020;CA-2020-106075;10009;Avery Binding System Hidden Tab Executive Style Index Sets;East;Consumer;23.09.2020;Standard Class;New York;Binders;0,2;1,731;1;4,616
Office Supplies;Jackson;United States;Tracy Blumstein;Other;14.09.2021;CA-2021-114440;49201;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";Central;Consumer;17.09.2021;Second Class;Michigan;Paper;0;8,763;3;19,05
Furniture;Memphis;United States;Joel Eaton;Other;26.04.2019;US-2019-134026;38109;High-Back Leather Manager's Chair;South;Consumer;2.05.2019;Standard Class;Tennessee;Chairs;0,2;-114,3912;8;831,936
Furniture;Memphis;United States;Joel Eaton;Tenex;26.04.2019;US-2019-134026;38109;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";South;Consumer;2.05.2019;Standard Class;Tennessee;Furnishings;0,2;1,213;2;97,04
Office Supplies;Memphis;United States;Joel Eaton;SAFCO;26.04.2019;US-2019-134026;38109;Safco Industrial Wire Shelving System;South;Consumer;2.05.2019;Standard Class;Tennessee;Storage;0,2;-18,196;1;72,784
Office Supplies;Houston;United States;Ken Brennan;Other;9.12.2021;US-2021-118038;77041;Economy Binders;Central;Corporate;11.12.2021;First Class;Texas;Binders;0,8;-1,9344;3;1,248
Furniture;Houston;United States;Ken Brennan;Other;9.12.2021;US-2021-118038;77041;"6"" Cubicle Wall Clock, Black";Central;Corporate;11.12.2021;First Class;Texas;Furnishings;0,6;-5,8248;3;9,708
Office Supplies;Houston;United States;Ken Brennan;Other;9.12.2021;US-2021-118038;77041;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;Central;Corporate;11.12.2021;First Class;Texas;Storage;0,2;2,724;3;27,24
Furniture;Houston;United States;Joel Eaton;Eldon;26.11.2018;US-2018-147606;77070;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Central;Consumer;1.12.2018;Second Class;Texas;Furnishings;0,6;-14,475;5;19,3
Office Supplies;Decatur;United States;Stewart Carmichael;Other;12.06.2020;CA-2020-127208;35601;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";South;Corporate;15.06.2020;First Class;Alabama;Appliances;0;56,2032;1;208,16
Office Supplies;Decatur;United States;Stewart Carmichael;Avery;12.06.2020;CA-2020-127208;35601;Avery Heavy-Duty EZD  Binder With Locking Rings;South;Corporate;15.06.2020;First Class;Alabama;Binders;0;8,0352;3;16,74
Office Supplies;San Francisco;United States;Duane Noonan;Other;12.10.2018;CA-2018-139451;94122;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;West;Consumer;16.10.2018;Standard Class;California;Art;0;4,172;5;14,9
Office Supplies;San Francisco;United States;Duane Noonan;Other;12.10.2018;CA-2018-139451;94122;Sortfiler Multipurpose Personal File Organizer, Black;West;Consumer;16.10.2018;Standard Class;California;Storage;0;6,2031;1;21,39
Office Supplies;Durham;United States;Julie Creighton;Other;3.09.2019;CA-2019-149734;27707;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;South;Corporate;8.09.2019;Standard Class;North Carolina;Envelopes;0,2;62,8075;7;200,984
Office Supplies;Chicago;United States;Christopher Schild;SAFCO;13.11.2021;US-2021-119662;60623;Safco Industrial Wire Shelving;Central;Home Office;16.11.2021;First Class;Illinois;Storage;0,2;-48,9549;3;230,376
Furniture;Columbia;United States;Patrick O'Donnell;Novimex;28.05.2021;CA-2021-140088;29203;Novimex Swivel Fabric Task Chair;South;Consumer;30.05.2021;Second Class;South Carolina;Chairs;0;33,2156;2;301,96
Technology;Rochester;United States;Paul Gonzalez;Logitech;26.10.2021;CA-2021-155558;55901;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;Central;Consumer;2.11.2021;Standard Class;Minnesota;Accessories;0;6,7966;1;19,99
Office Supplies;Rochester;United States;Paul Gonzalez;Avery;26.10.2021;CA-2021-155558;55901;Avery 511;Central;Consumer;2.11.2021;Standard Class;Minnesota;Labels;0;2,9568;2;6,16
Office Supplies;Houston;United States;Gary Mitchum;Eldon;5.04.2020;CA-2020-159695;77095;Eldon Portable Mobile Manager;Central;Home Office;10.04.2020;Second Class;Texas;Storage;0,2;13,8572;7;158,368
Office Supplies;Los Angeles;United States;Jim Sink;Other;17.09.2020;CA-2020-109806;90036;Turquoise Lead Holder with Pocket Clip;West;Corporate;22.09.2020;Standard Class;California;Art;0;6,633;3;20,1
Technology;Los Angeles;United States;Jim Sink;Panasonic;17.09.2020;CA-2020-109806;90036;Panasonic Kx-TS550;West;Corporate;22.09.2020;Standard Class;California;Phones;0,2;8,2782;2;73,584
Office Supplies;Los Angeles;United States;Jim Sink;Xerox;17.09.2020;CA-2020-109806;90036;Xerox 1995;West;Corporate;22.09.2020;Standard Class;California;Paper;0;3,1104;1;6,48
Office Supplies;Minneapolis;United States;Karl Braun;Xerox;31.01.2019;CA-2019-149587;55407;Xerox 1999;Central;Consumer;5.02.2019;Second Class;Minnesota;Paper;0;6,2208;2;12,96
Furniture;Minneapolis;United States;Karl Braun;Seth Thomas;31.01.2019;CA-2019-149587;55407;"Seth Thomas 13 1/2"" Wall Clock";Central;Consumer;5.02.2019;Second Class;Minnesota;Furnishings;0;16,5354;3;53,34
Office Supplies;Minneapolis;United States;Karl Braun;Ibico;31.01.2019;CA-2019-149587;55407;Ibico Standard Transparent Covers;Central;Consumer;5.02.2019;Second Class;Minnesota;Binders;0;16,1504;2;32,96
Office Supplies;Portland;United States;Roger Barcio;Other;6.11.2021;US-2021-109484;97206;Flexible Leather- Look Classic Collection Ring Binder;West;Home Office;12.11.2021;Standard Class;Oregon;Binders;0,7;-3,788;1;5,682
Furniture;New York City;United States;Parhena Norris;Other;9.11.2021;CA-2021-161018;10009;9-3/4 Diameter Round Wall Clock;East;Home Office;11.11.2021;Second Class;New York;Furnishings;0;40,5426;7;96,53
Office Supplies;San Francisco;United States;Katherine Ducich;Other;17.06.2021;CA-2021-157833;94122;Trimflex Flexible Post Binders;West;Consumer;20.06.2021;First Class;California;Binders;0,2;17,9592;3;51,312
Office Supplies;Saint Paul;United States;Elpida Rittenbach;Fellowes;6.09.2020;CA-2020-149223;55106;Fellowes Basic Home/Office Series Surge Protectors;Central;Corporate;11.09.2020;Standard Class;Minnesota;Appliances;0;22,5852;6;77,88
Office Supplies;Chicago;United States;Rick Bensley;Avery;29.08.2020;CA-2020-158568;60610;Avery Personal Creations Heavyweight Cards;Central;Home Office;2.09.2020;Standard Class;Illinois;Paper;0,2;22,6184;7;64,624
Technology;Chicago;United States;Rick Bensley;SanDisk;29.08.2020;CA-2020-158568;60610;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;Central;Home Office;2.09.2020;Standard Class;Illinois;Accessories;0,2;-10,7973;3;95,976
Office Supplies;Chicago;United States;Rick Bensley;Avery;29.08.2020;CA-2020-158568;60610;Avery Hidden Tab Dividers for Binding Systems;Central;Home Office;2.09.2020;Standard Class;Illinois;Binders;0,8;-3,0396;3;1,788
Office Supplies;Rochester;United States;Gary Zandusky;Universal;1.12.2020;CA-2020-129903;55901;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);Central;Consumer;4.12.2020;Second Class;Minnesota;Paper;0;11,7208;4;23,92
Technology;Aurora;United States;Lena Cacioppo;Logitech;13.11.2019;US-2019-156867;80013;Logitech K350 2.4Ghz Wireless Keyboard;West;Consumer;17.11.2019;Standard Class;Colorado;Accessories;0,2;-26,8758;6;238,896
Furniture;Aurora;United States;Lena Cacioppo;Deflect-o;13.11.2019;US-2019-156867;80013;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;West;Consumer;17.11.2019;Standard Class;Colorado;Furnishings;0,2;-3,838500000;3;102,36
Office Supplies;Aurora;United States;Lena Cacioppo;Avery;13.11.2019;US-2019-156867;80013;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";West;Consumer;17.11.2019;Standard Class;Colorado;Binders;0,7;-25,8174;3;36,882
Technology;Charlotte;United States;Janet Martin;Memorex;23.11.2021;CA-2021-119004;28205;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;South;Consumer;28.11.2021;Standard Class;North Carolina;Accessories;0,2;17,6016;8;74,112
Technology;Charlotte;United States;Janet Martin;Other;23.11.2021;CA-2021-119004;28205;Speck Products Candyshell Flip Case;South;Consumer;28.11.2021;Standard Class;North Carolina;Phones;0,2;2,0994;1;27,992
Office Supplies;Charlotte;United States;Janet Martin;Newell;23.11.2021;CA-2021-119004;28205;Newell Chalk Holder;South;Consumer;28.11.2021;Standard Class;North Carolina;Art;0,2;1,0738;1;3,304
Technology;Orland Park;United States;Pete Armstrong;Logitech;15.10.2019;CA-2019-129476;60462;Logitech Gaming G510s - Keyboard;Central;Home Office;20.10.2019;Standard Class;Illinois;Accessories;0,2;67,992;5;339,96
Furniture;New York City;United States;Cynthia Voltz;Other;25.12.2021;CA-2021-146780;10035;Magnifier Swing Arm Lamp;East;Corporate;30.12.2021;Standard Class;New York;Furnishings;0;10,9096;2;41,96
Office Supplies;Urbandale;United States;Clay Ludtke;Hunt;3.11.2020;CA-2020-128867;50322;Hunt PowerHouse Electric Pencil Sharpener, Blue;Central;Consumer;10.11.2020;Standard Class;Iowa;Art;0;22,788;2;75,96
Office Supplies;Urbandale;United States;Clay Ludtke;Avery;3.11.2020;CA-2020-128867;50322;"Avery Durable Plastic 1"" Binders";Central;Consumer;10.11.2020;Standard Class;Iowa;Binders;0;13,3476;6;27,24
Office Supplies;Columbus;United States;Ryan Crowe;Other;25.08.2018;CA-2018-115259;43229;OIC Colored Binder Clips, Assorted Sizes;East;Consumer;27.08.2018;Second Class;Ohio;Fasteners;0,2;14,5348;14;40,096
Office Supplies;Columbus;United States;Ryan Crowe;Other;25.08.2018;CA-2018-115259;43229;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;East;Consumer;27.08.2018;Second Class;Ohio;Envelopes;0,2;1,652;2;4,72
Office Supplies;Columbus;United States;Ryan Crowe;Xerox;25.08.2018;CA-2018-115259;43229;Xerox 1921;East;Consumer;27.08.2018;Second Class;Ohio;Paper;0,2;7,4925;3;23,976
Office Supplies;Columbus;United States;Ryan Crowe;Tyvek;25.08.2018;CA-2018-115259;43229;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;East;Consumer;27.08.2018;Second Class;Ohio;Envelopes;0,2;44,0316;6;130,464
Furniture;Seattle;United States;Dave Kipp;Hon;2.03.2019;CA-2019-110457;98103;Hon Racetrack Conference Tables;West;Consumer;6.03.2019;Standard Class;Washington;Tables;0;165,3813;3;787,53
Office Supplies;Bristol;United States;Greg Guthrie;GBC;5.04.2019;US-2019-136476;37620;GBC DocuBind 300 Electric Binding Machine;South;Corporate;10.04.2019;Standard Class;Tennessee;Binders;0,7;-115,7156;1;157,794
Furniture;Wilmington;United States;Steven Cartwright;Other;12.06.2020;CA-2020-103730;19805;Artistic Insta-Plaque;East;Consumer;15.06.2020;First Class;Delaware;Furnishings;0;18,3456;3;47,04
Office Supplies;Wilmington;United States;Steven Cartwright;DXL;12.06.2020;CA-2020-103730;19805;DXL Angle-View Binders with Locking Rings by Samsill;East;Consumer;15.06.2020;First Class;Delaware;Binders;0;13,878;4;30,84
Office Supplies;Wilmington;United States;Steven Cartwright;Other;12.06.2020;CA-2020-103730;19805;Companion Letter/Legal File, Black;East;Consumer;15.06.2020;First Class;Delaware;Storage;0;63,4368;6;226,56
Office Supplies;Wilmington;United States;Steven Cartwright;Global;12.06.2020;CA-2020-103730;19805;Globe Weis Peel & Seel First Class Envelopes;East;Consumer;15.06.2020;First Class;Delaware;Envelopes;0;51,759;9;115,02
